game,day,CDA.ask.accepted.quantity,CDA.bid.accepted.quantity,CDA.ask.accepted.price.min,CDA.bid.accepted.price.min,CDA.ask.accepted.price.max,CDA.bid.accepted.price.max,CDA.ask.accepted.price.mean,CDA.bid.accepted.price.mean,CDA.ask.accepted.price.stdev,CDA.bid.accepted.price.stdev,CDA.transaction.quantity,CDA.transaction.price.min,CDA.transaction.price.max,CDA.transaction.price.mean,CDA.transaction.price.stdev
0,77,+12.000,+12.000,+97.818,+100.444,+106.223,+143.414,+100.558,+112.317,+1.979,+17.978,+12.000,+100.067,+124.818,+106.438,+9.433
0,78,+16.000,+16.000,+98.743,+99.087,+104.584,+117.916,+102.014,+107.078,+1.583,+5.414,+16.000,+98.915,+110.355,+104.546,+3.139
0,79,+15.000,+15.000,+96.036,+102.199,+107.379,+117.404,+100.842,+106.070,+3.384,+4.461,+15.000,+99.118,+109.847,+103.456,+3.461
0,80,+13.000,+13.000,+97.369,+97.802,+103.840,+129.964,+100.901,+107.963,+2.275,+8.785,+13.000,+97.641,+116.127,+104.432,+5.134
0,81,+17.000,+17.000,+99.932,+100.898,+107.899,+196.247,+102.444,+128.771,+1.714,+28.473,+17.000,+100.437,+149.421,+115.608,+14.396
0,82,+9.000,+9.000,+98.922,+102.814,+106.894,+130.850,+102.910,+113.060,+1.935,+10.718,+9.000,+100.868,+116.832,+107.985,+5.991
0,83,+16.000,+16.000,+99.174,+100.098,+149.486,+156.701,+105.384,+113.587,+11.587,+20.732,+16.000,+99.636,+153.093,+109.485,+14.728
0,84,+8.000,+8.000,+97.776,+98.078,+101.743,+102.905,+100.680,+101.510,+1.267,+1.490,+8.000,+97.927,+102.324,+101.095,+1.349
0,85,+9.000,+9.000,+95.952,+104.401,+102.478,+140.095,+99.962,+120.381,+1.835,+14.809,+9.000,+101.919,+121.286,+110.172,+7.187
0,86,+17.000,+17.000,+100.579,+101.776,+106.810,+117.078,+102.502,+108.314,+2.138,+5.055,+17.000,+101.249,+111.935,+105.408,+2.927
0,87,+11.000,+11.000,+98.695,+100.046,+103.633,+131.358,+100.645,+106.243,+1.642,+8.875,+11.000,+99.519,+116.684,+103.444,+4.929
0,88,+17.000,+17.000,+95.749,+99.684,+102.852,+124.497,+100.149,+108.076,+1.808,+9.138,+17.000,+98.366,+113.420,+104.113,+5.115
0,89,+9.000,+9.000,+96.857,+101.234,+105.353,+159.848,+100.806,+118.664,+2.043,+17.216,+9.000,+100.713,+130.415,+109.735,+8.783
0,90,+3.000,+3.000,+97.590,+100.512,+100.983,+113.394,+99.375,+105.406,+1.391,+5.696,+3.000,+99.051,+107.188,+102.391,+3.478
0,91,+9.000,+9.000,+97.318,+100.909,+100.983,+154.526,+100.421,+112.176,+1.150,+16.725,+9.000,+99.114,+127.718,+106.298,+8.552
0,92,+15.000,+15.000,+97.118,+100.983,+105.609,+109.122,+100.990,+103.157,+1.817,+3.357,+15.000,+99.416,+107.083,+102.073,+2.105
0,93,+8.000,+8.000,+100.006,+101.808,+101.511,+107.970,+100.886,+103.348,+0.529,+2.668,+8.000,+100.907,+104.740,+102.117,+1.335
0,94,+11.000,+11.000,+99.290,+107.667,+140.058,+153.517,+106.154,+123.092,+11.217,+13.879,+11.000,+103.667,+146.788,+114.623,+11.395
0,95,+17.000,+17.000,+96.887,+100.177,+107.560,+142.099,+100.919,+120.454,+2.388,+13.669,+17.000,+100.156,+121.817,+110.686,+7.122
0,96,+13.000,+13.000,+96.474,+100.272,+101.534,+145.877,+99.831,+111.692,+1.920,+16.170,+13.000,+98.809,+121.175,+105.762,+8.108
0,97,+13.000,+13.000,+96.764,+99.868,+101.534,+115.384,+99.678,+104.141,+1.726,+5.365,+13.000,+98.853,+108.459,+101.910,+3.088
0,98,+15.000,+15.000,+96.610,+99.006,+104.331,+141.863,+100.407,+112.722,+2.524,+13.364,+15.000,+97.808,+123.097,+106.565,+7.188
0,99,+3.000,+3.000,+99.349,+138.654,+107.560,+166.127,+102.314,+150.080,+3.720,+11.682,+3.000,+122.403,+133.080,+126.197,+4.876
0,100,+5.000,+5.000,+99.016,+101.144,+101.144,+135.829,+99.739,+115.018,+0.762,+16.992,+5.000,+100.317,+117.499,+107.378,+8.237
0,101,+10.000,+10.000,+100.439,+100.933,+103.074,+111.048,+101.394,+102.809,+1.101,+2.915,+10.000,+100.686,+106.631,+102.101,+1.810
0,102,+18.000,+18.000,+97.363,+99.564,+103.792,+138.812,+100.973,+114.752,+2.008,+15.073,+18.000,+99.448,+120.311,+107.863,+7.695
0,103,+7.000,+7.000,+97.460,+98.030,+101.729,+107.359,+99.513,+101.509,+1.364,+2.802,+7.000,+97.745,+104.544,+100.511,+2.022
0,104,+15.000,+15.000,+97.919,+98.257,+103.755,+161.449,+101.182,+117.095,+1.526,+22.168,+15.000,+98.088,+131.313,+109.139,+11.402
0,105,+15.000,+15.000,+96.446,+98.343,+103.074,+128.093,+99.470,+106.622,+1.777,+9.846,+15.000,+97.707,+115.583,+103.046,+5.408
0,106,+11.000,+11.000,+98.204,+100.363,+104.347,+116.388,+101.022,+105.533,+1.761,+4.554,+11.000,+99.283,+108.296,+103.278,+2.667
0,107,+6.000,+6.000,+97.323,+101.610,+100.961,+140.675,+99.735,+115.070,+1.131,+15.135,+6.000,+99.467,+120.353,+107.402,+7.851
0,108,+10.000,+10.000,+98.495,+99.200,+102.078,+152.723,+100.135,+116.614,+1.065,+23.659,+10.000,+98.848,+127.400,+108.375,+12.118
0,109,+9.000,+9.000,+96.291,+101.173,+122.803,+151.997,+103.052,+132.784,+7.275,+22.525,+9.000,+100.602,+137.400,+117.918,+12.924
0,110,+18.000,+18.000,+95.362,+96.703,+107.993,+119.565,+99.484,+106.138,+2.717,+7.392,+18.000,+96.033,+109.798,+102.811,+4.386
0,111,+23.000,+23.000,+96.377,+97.534,+110.798,+130.268,+101.703,+107.336,+3.068,+7.016,+23.000,+97.176,+115.150,+104.519,+4.068
0,112,+16.000,+16.000,+98.467,+100.061,+104.356,+180.057,+100.906,+114.047,+1.916,+19.153,+16.000,+99.264,+141.859,+107.477,+9.936
0,113,+6.000,+6.000,+97.776,+100.061,+100.061,+132.458,+99.681,+116.260,+0.852,+16.198,+6.000,+98.919,+116.260,+107.970,+8.298
0,114,+15.000,+15.000,+97.647,+99.464,+107.397,+128.410,+100.457,+108.829,+2.571,+9.468,+15.000,+98.931,+114.425,+104.643,+5.382
0,115,+12.000,+12.000,+97.824,+98.214,+103.508,+103.734,+99.997,+101.684,+1.458,+1.802,+12.000,+98.102,+103.621,+100.840,+1.475
0,116,+16.000,+16.000,+99.344,+101.742,+108.295,+137.971,+102.050,+109.565,+2.348,+10.680,+16.000,+100.614,+123.133,+105.807,+6.353
0,117,+14.000,+14.000,+96.795,+99.142,+111.096,+156.386,+101.372,+120.896,+3.834,+15.877,+14.000,+97.969,+128.224,+111.134,+8.084
0,118,+14.000,+14.000,+95.645,+99.752,+101.742,+117.663,+98.933,+103.897,+1.806,+5.693,+14.000,+97.698,+108.615,+101.415,+3.323
0,119,+20.000,+20.000,+96.376,+98.395,+103.163,+107.245,+99.627,+102.546,+1.424,+2.726,+20.000,+98.171,+104.428,+101.086,+1.761
0,120,+15.000,+15.000,+96.841,+101.278,+106.384,+126.653,+99.724,+110.388,+2.248,+7.263,+15.000,+100.400,+114.298,+105.056,+3.777
0,121,+9.000,+9.000,+97.904,+99.495,+101.008,+137.090,+98.839,+113.149,+0.958,+11.700,+9.000,+98.699,+117.992,+105.994,+6.016
0,122,+9.000,+9.000,+97.344,+98.947,+103.649,+125.420,+99.409,+107.706,+1.807,+8.600,+9.000,+98.145,+112.183,+103.557,+4.625
